Z,dT,I,time
-0.004916653429412415,0.013684988021850586,0.0,1749983802.480158
-0.005465071655827568,0.015392303466796875,0.0,1749983802.502453
-0.005985701040642494,0.014176368713378906,0.0,1749983802.5227268
-0.005985701040642494,0.019272565841674805,0.0,1749983802.5465379
-0.006621710691081974,0.014315366744995117,0.0,1749983802.5685778
-0.006621710691081974,0.01380467414855957,0.0,1749983802.5903733
-0.007191612334745778,0.015331745147705078,0.0,1749983802.6124334
-0.007191612334745778,0.015331745147705078,0.0,1749983802.6338437
-0.007339422708326741,0.021410226821899414,0.0,1749983802.6558595
-0.008001288211657688,0.01411890983581543,0.0,1749983802.6786108
-0.007945114600651478,0.019503116607666016,0.0,1749983802.700467
-0.008198773401133315,0.014182329177856445,0.0,1749983802.722566
-0.008421084814567747,0.014218807220458984,0.0,1749983802.7455645
-0.00894915960818181,0.014123201370239258,0.0,1749983802.767291
-0.008364615470597607,0.015256404876708984,0.0,1749983802.7885892
-0.008355497743013132,0.015532493591308594,0.0,1749983802.810939
-0.008657225147868429,0.014744758605957031,0.0,1749983802.833093
-0.008657225147868429,0.01564764976501465,0.0,1749983802.8547666
-0.008536205043230707,0.016422033309936523,0.0,1749983802.8772256
-0.008382779604270548,0.014252662658691406,0.0,1749983802.899482
-0.008583915520172606,0.014728546142578125,0.0,1749983802.9202883
-0.008387222093900156,0.013762235641479492,0.0,1749983802.9425519
-0.008387222093900156,0.022567272186279297,0.0,1749983802.965619
-0.008579682844379778,0.015707015991210938,0.0,1749983802.9872224
-0.008593651440453385,0.017292261123657227,0.0,1749983803.009882
-0.008288575794929047,0.017715930938720703,0.0,1749983803.0328958
-0.008072838404358044,0.016270160675048828,0.0,1749983803.0635047
-0.00777465040904079,0.027469396591186523,0.0,1749983803.0862086
-0.0077006757128986,0.022821903228759766,0.0,1749983803.109293
-0.007481746335413085,0.020601511001586914,0.0,1749983803.1323063
-0.007684569720791784,0.020180225372314453,0.0,1749983803.1575298
-0.0070961450737242835,0.02946162223815918,0.0,1749983803.1811254
